iter	RMSE
0	63383.01879
1	62241.83583
2	61068.55373
3	60108.60326
4	59172.87389
5	58283.76341
6	57471.34752
7	56730.35563
8	56044.82163
9	55403.58915
10	54841.38926
11	54367.43606
12	53921.49339
13	53470.32753
14	53094.87889
15	52708.42201
16	52436.87686
17	52115.0787
18	51820.33938
19	51543.05001
20	51280.47316
21	51100.81809
22	50917.32374
23	50732.05652
24	50559.10712
25	50426.49873
26	50270.12997
27	50144.08268
28	50002.50736
29	49869.41559
30	49728.15162
31	49619.77732
32	49530.29357
33	49440.44629
34	49364.84623
35	49284.73093
36	49180.37877
37	49114.31725
38	49034.5938
39	48966.61405
40	48889.90056
41	48829.28951
42	48753.0649
43	48697.09454
44	48645.05695
45	48594.22097
46	48540.49112
47	48495.03025
48	48450.90465
49	48407.61741
50	48368.24274
51	48320.75605
52	48277.20197
53	48237.201
54	48202.2559
55	48159.59755
56	48130.02057
57	48083.23353
58	48054.20501
59	48024.62017
60	47982.75869
61	47954.48974
62	47936.64746
63	47911.26378
64	47882.67635
65	47843.27952
66	47802.84264
67	47780.43924
68	47775.32933
69	47752.00882
70	47727.05704
71	47704.09994
72	47686.29317
73	47651.98933
74	47624.69335
75	47606.34356
76	47583.1477
77	47555.88787
78	47534.78364
79	47505.28996
80	47487.24678
81	47472.12543
82	47462.57518
83	47444.0967
84	47425.8911
85	47416.87185
86	47394.23647
87	47377.06048
88	47374.44895
89	47364.08782
90	47342.96601
91	47329.79716
92	47312.48765
93	47300.15522
94	47276.76586
95	47274.33251
96	47253.50523
97	47241.403
98	47232.46249
99	47223.4173
100	47199.14668
101	47180.72438
102	47164.79432
103	47142.67997
104	47127.87371
105	47118.04228
106	47105.53174
107	47094.47241
108	47085.12361
109	47068.3581
110	47057.15599
111	47043.12389
112	47031.38631
113	47017.1999
114	47009.63358
115	46993.85388
116	46986.8287
117	46975.16644
118	46968.05865
119	46958.75582
120	46949.1538
121	46935.60477
122	46923.95599
123	46922.23293
124	46911.35562
125	46906.4498
126	46895.56736
127	46885.29427
128	46873.08229
129	46870.70155
130	46863.14773
131	46849.69029
132	46837.34189
133	46824.8187
134	46812.78263
135	46799.33775
136	46780.59353
137	46767.54693
138	46758.29026
139	46750.29307
140	46732.24841
141	46715.46761
142	46714.64287
143	46698.60304
144	46685.9854
145	46671.12622
146	46656.49939
147	46643.01448
148	46630.73888
149	46612.96338
150	46595.09363
151	46585.33273
152	46575.20271
153	46565.59857
154	46555.22916
155	46543.83188
156	46541.11335
157	46528.90378
158	46512.59959
159	46495.04667
160	46489.73711
161	46485.6276
162	46481.36155
163	46477.6406
164	46475.1237
165	46469.59535
166	46454.72436
167	46443.50956
168	46434.16652
169	46422.39922
170	46415.24943
171	46403.94393
172	46388.38007
173	46376.71255
174	46362.46867
175	46355.89399
176	46330.58236
177	46313.5162
178	46306.71456
179	46292.32197
180	46281.20978
181	46265.81448
182	46257.57424
183	46244.94234
184	46241.77431
185	46230.95913
186	46220.94925
187	46207.01036
188	46193.94423
189	46187.81271
190	46178.05919
191	46174.27449
192	46160.3289
193	46152.34106
194	46136.66493
195	46134.38891
196	46128.88365
197	46112.06661
198	46096.79537
199	46082.89748
200	46070.15732
201	46066.73269
202	46053.27709
203	46037.87711
204	46033.71654
205	46029.0613
206	46017.74727
207	46002.66035
208	45997.56115
209	45982.1808
210	45968.82422
211	45955.12321
212	45948.61807
213	45939.55602
214	45927.79335
215	45918.87616
216	45910.39581
217	45897.05466
218	45889.58403
219	45872.03035
220	45858.57062
221	45843.9683
222	45832.43987
223	45817.36881
224	45812.90801
225	45795.34615
226	45788.44654
227	45778.6547
228	45768.77192
229	45764.55927
230	45761.72881
231	45757.94928
232	45747.49101
233	45739.33946
234	45729.38613
235	45726.27312
236	45711.78781
237	45700.30793
238	45685.99982
239	45679.3062
240	45667.39322
241	45664.74937
242	45656.86319
243	45646.61701
244	45637.57077
245	45634.89215
246	45627.03997
247	45620.80817
248	45612.02112
249	45609.92906
250	45607.00068
251	45598.62839
252	45593.7466
253	45585.27165
254	45577.16025
255	45571.81039
256	45569.83557
257	45561.926
258	45555.09547
259	45544.23546
260	45536.29417
261	45530.00939
262	45526.01023
263	45520.31958
264	45517.86017
265	45507.49744
266	45499.85542
267	45488.62387
268	45486.82714
269	45485.00576
270	45478.34552
271	45472.4936
272	45461.46694
273	45450.76588
274	45447.3569
275	45443.77622
276	45432.75918
277	45422.79256
278	45420.77982
279	45415.60546
280	45409.36823
281	45402.51975
282	45397.5777
283	45391.55382
284	45384.17435
285	45377.78268
286	45373.74897
287	45371.22395
288	45364.64
289	45354.97729
290	45349.7524
291	45343.74667
292	45341.47936
293	45337.78614
294	45331.60357
295	45329.79379
296	45327.20297
297	45319.08774
298	45314.46947
299	45308.93067
300	45305.15666
301	45297.23247
302	45290.70802
303	45285.07028
304	45276.40402
305	45269.53813
306	45265.87014
307	45261.13962
308	45254.99525
309	45253.16822
310	45245.54522
311	45243.1815
312	45236.4155
313	45229.52897
314	45224.45764
315	45215.80665
316	45205.89121
317	45204.21579
318	45199.76401
319	45197.83229
320	45183.724
321	45179.13965
322	45174.22314
323	45171.1851
324	45161.51174
325	45155.30915
326	45144.29817
327	45140.54433
328	45133.20445
329	45131.5787
330	45129.6893
331	45127.63406
332	45118.88016
333	45112.85084
334	45107.39589
335	45102.52269
336	45096.41442
337	45092.17584
338	45087.54026
339	45082.55011
340	45079.79419
341	45074.96159
342	45072.41052
343	45067.21411
344	45064.26069
345	45054.49677
346	45051.61358
347	45047.85322
348	45041.50628
349	45038.95516
350	45037.38
351	45035.77082
352	45030.28437
353	45028.63334
354	45023.80722
355	45018.43115
356	45014.44154
357	45012.05827
358	45010.42631
359	45007.95616
360	45000.58864
361	44998.40986
362	44995.22308
363	44991.10181
364	44989.72252
365	44985.97996
366	44984.65337
367	44981.37407
368	44975.88564
369	44974.47833
370	44966.17931
371	44961.60786
372	44956.91315
373	44953.72945
374	44948.0645
375	44940.79034
376	44939.32124
377	44933.66157
378	44922.63734
379	44917.7527
380	44914.01496
381	44907.88765
382	44906.65406
383	44901.40052
384	44900.08501
385	44898.403
386	44892.77124
387	44891.52083
388	44888.1902
389	44886.98744
390	44884.39133
391	44874.71398
392	44872.08583
393	44867.90504
394	44866.61469
395	44859.92301
396	44858.04167
397	44855.23993
398	44850.41752
399	44847.65949
400	44843.76188
401	44842.64341
402	44841.46052
403	44833.55134
404	44826.31013
405	44821.30236
406	44818.46591
407	44808.05183
408	44805.59472
409	44804.39623
410	44802.50967
411	44801.35323
412	44799.84784
413	44798.40643
414	44792.81102
415	44789.43925
416	44783.8274
417	44780.45416
418	44779.50304
419	44776.31937
420	44772.41093
421	44768.10103
422	44763.94343
423	44762.06551
424	44758.47357
425	44756.23748
426	44755.30152
427	44746.48932
428	44745.14263
429	44741.18764
430	44736.51013
431	44735.19777
432	44730.69142
433	44728.71453
434	44725.10108
435	44719.84334
436	44715.38408
437	44712.19222
438	44701.63859
439	44698.66579
440	44694.7014
441	44693.71591
442	44690.12086
443	44687.10261
444	44685.48741
445	44679.11106
446	44678.23789
447	44677.29341
448	44670.20152
449	44668.77451
450	44660.844
451	44658.77705
452	44657.87084
453	44654.66491
454	44649.65268
455	44646.69897
456	44645.30245
457	44642.69195
458	44636.35222
459	44632.64872
460	44631.73939
461	44628.87356
462	44627.43976
463	44625.57387
464	44620.30874
465	44617.6749
466	44614.76192
467	44611.53219
468	44609.09038
469	44607.0635
470	44604.68607
471	44600.4663
472	44598.24801
473	44597.36425
474	44596.38907
475	44592.71841
476	44591.12202
477	44586.50259
478	44580.6746
479	44579.25399
480	44577.02339
481	44575.76057
482	44570.77079
483	44568.43836
484	44567.31854
485	44563.27889
486	44562.29647
487	44559.89173
488	44559.05313
489	44554.3488
490	44552.05169
491	44550.40773
492	44547.38772
493	44545.81816
494	44539.64382
495	44537.14608
496	44535.6825
497	44532.61769
498	44529.08861
499	44528.16195
500	44523.0929
501	44522.1567
502	44521.26531
503	44520.0376
504	44514.90004
505	44512.95332
506	44511.89881
507	44506.70273
508	44505.52498
509	44504.59032
510	44501.94924
511	44499.22784
512	44498.38107
513	44492.61475
514	44491.75063
515	44489.51501
516	44488.70466
517	44487.72979
518	44487.0379
519	44481.72158
520	44477.08459
521	44473.98112
522	44470.80193
523	44468.01328
524	44463.76677
525	44460.65202
526	44459.48969
527	44458.5797
528	44456.93534
529	44453.63351
530	44452.08942
531	44449.60396
532	44448.80828
533	44445.09655
534	44437.16689
535	44435.23893
536	44433.14608
537	44429.73422
538	44428.07573
539	44421.33165
540	44420.40157
541	44416.89093
542	44414.35863
543	44413.07323
544	44410.651
545	44409.4219
546	44407.11423
547	44400.4514
548	44397.06662
549	44396.26439
550	44393.66163
551	44392.31476
552	44391.51748
553	44390.73585
554	44387.29393
555	44385.4143
556	44384.67398
557	44383.23743
558	44382.64056
559	44378.13002
560	44375.90247
561	44374.54888
562	44370.13841
563	44367.33866
564	44363.24147
565	44358.03361
566	44355.99907
567	44353.53902
568	44350.05381
569	44349.1481
570	44345.52994
571	44344.95263
572	44338.19128
573	44335.23577
574	44331.0476
575	44329.66531
576	44327.31278
577	44319.74416
578	44316.36763
579	44314.97475
580	44312.52266
581	44310.28251
582	44308.32444
583	44303.24043
584	44301.03609
585	44300.39686
586	44295.88737
587	44287.60512
588	44286.84858
589	44284.89447
590	44281.51105
591	44279.4904
592	44275.11408
593	44274.4739
594	44273.81785
595	44273.11322
596	44268.46816
597	44265.68884
598	44263.08057
599	44261.95207
600	44260.9252
601	44258.70276
602	44255.86316
603	44254.57285
604	44252.32597
605	44250.21793
606	44249.42551
607	44248.7226
608	44247.91973
609	44246.1786
610	44242.73491
611	44242.21385
612	44241.6537
613	44240.32139
614	44239.596
615	44236.7365
616	44234.6816
617	44230.09732
618	44227.76962
619	44224.51577
620	44221.64275
621	44219.02491
622	44218.33609
623	44216.87159
624	44212.78648
625	44211.14353
626	44207.12451
627	44206.45306
628	44203.23458
629	44200.10391
630	44197.08523
631	44192.90623
632	44192.19603
633	44190.58147
634	44190.09047
635	44187.87374
636	44184.66698
637	44178.90724
638	44176.31669
639	44174.81523
640	44173.67899
641	44172.59466
642	44170.4209
643	44169.17355
644	44165.64679
645	44159.05157
646	44157.59375
647	44152.40866
648	44149.77239
649	44143.72
650	44143.03613
651	44139.97771
652	44139.33428
653	44138.66247
654	44137.69189
655	44136.6181
656	44135.14383
657	44132.47951
658	44130.1211
659	44128.40254
660	44126.31571
661	44125.74411
662	44125.0243
663	44122.86
664	44121.59049
665	44120.92053
666	44118.27938
667	44117.59397
668	44115.399
669	44113.70364
670	44112.70958
671	44107.77523
672	44105.59485
673	44103.21406
674	44102.16979
675	44100.32065
676	44097.51601
677	44096.08912
678	44095.13579
679	44094.44776
680	44092.48753
681	44089.50655
682	44087.77452
683	44086.84505
684	44085.35246
685	44083.12421
686	44081.91874
687	44079.99662
688	44078.8924
689	44078.24626
690	44077.09201
691	44075.29772
692	44074.69401
693	44074.09092
694	44072.17244
695	44071.30749
696	44070.45421
697	44069.83401
698	44066.80916
699	44065.01379
700	44062.89976
701	44059.98591
702	44059.08695
703	44057.79935
704	44056.01526
705	44054.56805
706	44054.02257
707	44050.90434
708	44048.59534
709	44044.79248
710	44043.933
711	44043.03794
712	44042.36003
713	44041.52718
714	44040.94652
715	44038.98811
716	44037.26504
717	44036.71982
718	44034.99004
719	44034.0392
720	44033.46537
721	44032.02392
722	44031.48876
723	44030.56059
724	44028.02893
725	44026.27109
726	44023.83584
727	44022.1032
728	44018.85357
729	44016.79556
730	44015.92411
731	44014.56248
732	44013.73273
733	44010.26608
734	44009.37895
735	44008.82772
736	44006.81662
737	44004.58914
738	44002.15248
739	43998.39025
740	43997.92782
741	43997.34053
742	43993.63284
743	43991.61182
744	43988.71491
745	43987.78201
746	43987.34113
747	43984.51662
748	43983.04027
749	43981.9744
750	43980.7838
751	43978.47603
752	43976.46355
753	43975.91256
754	43973.89649
755	43973.10183
756	43972.54673
757	43971.51788
758	43971.00737
759	43968.92112
760	43968.39141
761	43967.05044
762	43964.49851
763	43962.49316
764	43960.8198
765	43960.13215
766	43958.51286
767	43956.13021
768	43955.21745
769	43954.41633
770	43953.89301
771	43952.51594
772	43950.78722
773	43947.55656
774	43944.13399
775	43942.1358
776	43941.41132
777	43940.86502
778	43940.20727
779	43938.90531
780	43938.37502
781	43936.68351
782	43935.47636
783	43934.83554
784	43932.26452
785	43930.21734
786	43928.42099
787	43927.93681
788	43927.28325
789	43926.74455
790	43922.73795
791	43921.94743
792	43920.52457
793	43918.60882
794	43917.36704
795	43916.94348
796	43915.80818
797	43913.98714
798	43913.48608
799	43912.53331
800	43911.49562
801	43908.57351
802	43908.08198
803	43905.35022
804	43904.93926
805	43904.50805
806	43902.38335
807	43900.26002
808	43899.88114
809	43898.44825
810	43897.40525
811	43894.99464
812	43893.83589
813	43893.32447
814	43892.90805
815	43890.455
816	43890.04932
817	43889.57231
818	43887.22891
819	43885.42709
820	43882.6186
821	43881.51212
822	43878.69099
823	43878.05407
824	43877.09519
825	43874.71354
826	43870.56207
827	43866.02492
828	43865.52645
829	43863.97997
830	43862.26995
831	43858.37704
832	43855.33411
833	43853.83881
834	43850.85526
835	43847.03704
836	43846.23732
837	43840.76232
838	43840.14482
839	43838.36591
840	43837.76036
841	43837.38235
842	43835.95465
843	43835.08628
844	43834.65111
845	43832.59233
846	43832.18679
847	43831.74279
848	43828.03836
849	43827.18854
850	43826.49081
851	43825.85579
852	43825.52468
853	43824.66771
854	43822.05584
855	43821.52291
856	43819.93122
857	43817.92472
858	43816.36916
859	43814.63586
860	43814.27985
861	43813.7956
862	43812.8852
863	43811.8614
864	43810.61415
865	43809.98352
866	43809.34025
867	43808.85012
868	43805.97032
869	43804.85779
870	43801.51296
871	43801.11275
872	43799.00526
873	43798.46761
874	43797.17412
875	43795.21314
876	43794.63615
877	43794.24166
878	43792.47454
879	43792.09794
880	43787.64908
881	43784.58691
882	43784.01584
883	43782.43609
884	43777.98136
885	43776.64716
886	43774.8063
887	43772.58915
888	43770.04074
889	43766.84198
890	43765.86479
