iter	Passed	Remaining
0	8	8778
1	16	8288
2	23	7882
3	31	7871
4	39	7815
5	44	7427
6	52	7384
7	58	7259
8	64	7093
9	70	6959
10	75	6769
11	79	6577
12	84	6429
13	89	6289
14	93	6158
15	98	6063
16	102	5910
17	106	5828
18	111	5766
19	116	5704
20	121	5644
21	125	5589
22	130	5541
23	135	5493
24	139	5440
25	144	5402
26	148	5364
27	153	5327
28	158	5308
29	163	5274
30	167	5239
31	172	5209
32	175	5155
33	180	5125
34	184	5094
35	189	5067
36	193	5045
37	198	5022
38	202	4998
39	207	4978
40	212	4959
41	216	4934
42	220	4912
43	225	4894
44	229	4878
45	234	4861
46	238	4838
47	242	4817
48	247	4805
49	252	4794
50	256	4776
51	261	4760
52	265	4744
53	270	4731
54	275	4725
55	279	4709
56	283	4695
57	288	4686
58	293	4674
59	297	4661
60	302	4650
61	306	4641
62	311	4629
63	315	4618
64	320	4608
65	324	4596
66	329	4586
67	334	4578
68	338	4566
69	342	4556
70	347	4552
71	352	4541
72	357	4534
73	361	4529
74	366	4517
75	370	4505
76	374	4493
77	379	4485
78	383	4475
79	388	4466
80	392	4457
81	397	4451
82	401	4438
83	406	4428
84	410	4420
85	413	4393
86	418	4387
87	421	4372
88	425	4355
89	429	4346
90	434	4338
91	438	4330
92	443	4321
93	447	4314
94	452	4306
95	454	4276
96	458	4268
97	462	4261
98	467	4252
99	471	4245
100	476	4239
101	480	4230
102	484	4222
103	489	4216
104	493	4209
105	498	4201
106	502	4193
107	506	4186
108	511	4180
109	515	4172
110	520	4165
111	524	4159
112	529	4152
113	533	4144
114	537	4138
115	542	4131
116	546	4124
117	549	4104
118	553	4100
119	558	4093
120	562	4087
121	567	4083
122	572	4078
123	574	4060
124	579	4054
125	583	4048
126	588	4042
127	592	4035
128	596	4028
129	601	4023
130	605	4014
131	609	4009
132	613	3997
133	617	3991
134	621	3981
135	625	3976
136	630	3972
137	634	3965
138	639	3959
139	642	3946
140	646	3940
141	651	3935
142	653	3917
143	658	3911
144	662	3906
145	666	3901
146	671	3893
147	675	3888
148	679	3882
149	683	3873
150	687	3862
151	691	3856
152	695	3849
153	699	3843
154	703	3836
155	707	3826
156	711	3821
157	716	3815
158	720	3808
159	723	3800
160	726	3788
161	730	3781
162	734	3773
163	738	3766
164	742	3757
165	746	3750
166	750	3742
167	754	3734
168	758	3728
169	761	3718
170	765	3713
171	769	3705
172	773	3698
173	777	3690
174	781	3683
175	785	3677
176	789	3668
177	793	3665
178	798	3660
179	801	3653
180	806	3647
181	809	3640
182	813	3633
183	817	3627
184	821	3620
185	826	3615
186	829	3606
187	833	3600
188	837	3594
189	841	3588
190	845	3582
191	849	3573
192	853	3568
193	857	3561
194	861	3556
195	865	3550
196	869	3544
197	874	3540
198	878	3534
199	882	3528
200	886	3524
201	890	3518
202	895	3514
203	899	3509
204	903	3504
205	907	3499
206	911	3491
207	916	3489
208	920	3482
209	923	3473
210	927	3469
211	932	3464
212	935	3458
213	940	3452
214	943	3445
215	948	3440
216	952	3435
217	956	3431
218	960	3426
219	965	3422
220	969	3416
221	973	3413
222	978	3407
223	982	3403
224	986	3397
225	990	3393
226	995	3389
227	999	3384
228	1003	3377
229	1007	3372
230	1010	3364
231	1014	3359
232	1018	3353
233	1022	3348
234	1027	3344
235	1031	3338
236	1035	3333
237	1039	3328
238	1043	3323
239	1048	3318
240	1052	3314
241	1056	3310
242	1061	3305
243	1065	3301
244	1069	3296
245	1073	3291
246	1077	3286
247	1082	3282
248	1086	3277
249	1091	3273
250	1095	3268
251	1099	3264
252	1104	3260
253	1108	3256
254	1113	3252
255	1117	3247
256	1121	3242
257	1126	3238
258	1130	3234
259	1134	3230
260	1139	3225
261	1143	3221
262	1147	3216
263	1152	3212
264	1156	3207
265	1160	3203
266	1165	3199
267	1169	3194
268	1174	3190
269	1178	3186
270	1182	3181
271	1187	3177
272	1191	3172
273	1195	3168
274	1199	3163
275	1204	3159
276	1208	3154
277	1213	3150
278	1217	3146
279	1221	3142
280	1226	3137
281	1230	3133
282	1235	3129
283	1239	3124
284	1242	3117
285	1246	3112
286	1251	3108
287	1255	3103
288	1259	3099
289	1264	3095
290	1268	3090
291	1273	3086
292	1277	3082
293	1282	3078
294	1286	3074
295	1290	3070
296	1295	3065
297	1299	3061
298	1303	3056
299	1308	3052
300	1312	3048
301	1316	3043
302	1320	3037
303	1324	3032
304	1329	3029
305	1332	3022
306	1337	3018
307	1341	3013
308	1345	3008
309	1349	3003
310	1353	2998
311	1357	2994
312	1362	2990
313	1366	2985
314	1371	2982
315	1375	2976
316	1379	2971
317	1383	2966
318	1386	2960
319	1390	2955
320	1395	2951
321	1399	2946
322	1403	2941
323	1407	2937
324	1412	2933
325	1416	2929
326	1420	2924
327	1424	2918
328	1428	2914
329	1432	2908
330	1436	2903
331	1440	2897
332	1444	2893
333	1448	2888
334	1453	2884
335	1457	2879
336	1460	2873
337	1464	2868
338	1469	2864
339	1472	2858
340	1476	2853
341	1480	2847
342	1484	2842
343	1487	2836
344	1491	2831
345	1496	2827
346	1499	2822
347	1504	2818
348	1508	2813
349	1512	2808
350	1516	2804
351	1519	2798
352	1524	2793
353	1528	2789
354	1532	2784
355	1537	2780
356	1540	2774
357	1544	2770
358	1548	2764
359	1551	2758
360	1555	2753
361	1559	2748
362	1564	2745
363	1567	2739
364	1571	2734
365	1575	2729
366	1579	2724
367	1583	2719
368	1588	2715
369	1591	2710
370	1596	2706
371	1600	2701
372	1604	2697
373	1608	2692
374	1613	2688
375	1617	2685
376	1621	2679
377	1625	2675
378	1629	2670
379	1633	2665
380	1638	2661
381	1642	2656
382	1646	2651
383	1649	2646
384	1653	2641
385	1657	2637
386	1661	2631
387	1665	2627
388	1669	2622
389	1673	2617
390	1677	2612
391	1681	2608
392	1686	2604
393	1690	2599
394	1694	2594
395	1698	2590
396	1702	2586
397	1706	2581
398	1709	2575
399	1714	2571
400	1718	2566
401	1721	2560
402	1725	2556
403	1729	2551
404	1733	2547
405	1738	2542
406	1741	2537
407	1745	2533
408	1749	2528
409	1753	2523
410	1757	2519
411	1761	2514
412	1765	2509
413	1768	2503
414	1772	2498
415	1776	2494
416	1780	2489
417	1784	2484
418	1788	2480
419	1793	2476
420	1796	2470
421	1800	2466
422	1804	2461
423	1808	2456
424	1812	2452
425	1816	2447
426	1820	2442
427	1824	2438
428	1828	2433
429	1832	2429
430	1836	2424
431	1840	2420
432	1844	2415
433	1848	2411
434	1853	2406
435	1856	2401
436	1860	2397
437	1865	2393
438	1869	2389
439	1873	2384
440	1877	2379
441	1881	2375
442	1886	2371
443	1890	2367
444	1893	2362
445	1898	2357
446	1901	2352
447	1906	2348
448	1910	2344
449	1914	2339
450	1918	2334
451	1922	2330
452	1925	2325
453	1930	2321
454	1934	2317
455	1938	2313
456	1942	2307
457	1946	2303
458	1950	2299
459	1955	2295
460	1959	2290
461	1963	2286
462	1967	2281
463	1971	2276
464	1975	2272
465	1979	2268
466	1983	2263
467	1986	2258
468	1990	2253
469	1994	2249
470	1998	2244
471	2002	2240
472	2006	2235
473	2010	2230
474	2013	2225
475	2017	2221
476	2021	2216
477	2025	2212
478	2029	2207
479	2034	2203
480	2037	2198
481	2041	2194
482	2045	2189
483	2049	2185
484	2053	2180
485	2057	2175
486	2060	2170
487	2064	2165
488	2068	2161
489	2071	2156
490	2075	2151
491	2080	2147
492	2083	2142
493	2087	2138
494	2091	2133
495	2094	2128
496	2098	2123
497	2102	2119
