iter	RMSE
0	0.4876095491
1	0.465977965
2	0.4468586236
3	0.4310288882
4	0.4164011475
5	0.4049831152
6	0.3948220273
7	0.386550774
8	0.3790434905
9	0.3722921698
10	0.367452581
11	0.36253434
12	0.3588427729
13	0.3552000393
14	0.3522149566
15	0.3492395854
16	0.3469097726
17	0.3448950794
18	0.3429563659
19	0.3415157321
20	0.3401713465
21	0.3389748239
22	0.3377718972
23	0.3366962061
24	0.3358198011
25	0.3349073413
26	0.3342056485
27	0.3336371878
28	0.3330259197
29	0.332600177
30	0.3321526989
31	0.3317961447
32	0.3314240276
33	0.3310859186
34	0.3307859624
35	0.3305288539
36	0.3301582744
37	0.329902787
38	0.3295680654
39	0.3293582624
40	0.3291915192
41	0.3290473897
42	0.3289033893
43	0.3287145829
44	0.3284603916
45	0.3281745116
46	0.3279823835
47	0.3277887858
48	0.3275037233
49	0.327410978
50	0.3272745616
51	0.3271787839
52	0.3270972062
53	0.3270179309
54	0.326817905
55	0.3266692507
56	0.326571525
57	0.3265215837
58	0.3263767269
59	0.326263326
60	0.3261750034
61	0.3258833996
62	0.3258067212
63	0.3257566247
64	0.3254959505
65	0.3253855026
66	0.3253141114
67	0.3251478016
68	0.3250466801
69	0.3249678903
70	0.3248930948
71	0.3248091518
72	0.324732009
73	0.3246569851
74	0.3246145567
75	0.3245474011
76	0.3244365426
77	0.3243295173
78	0.3242680501
79	0.3241748158
80	0.3240272427
81	0.3240215125
82	0.3238189067
83	0.3237776969
84	0.3236809378
85	0.323615309
86	0.3234153285
87	0.3232466533
88	0.3231767147
89	0.3231117116
90	0.3230531363
91	0.3228614273
92	0.3227841184
93	0.3227562498
94	0.3226790825
95	0.3225181587
96	0.3224215298
97	0.3223106224
98	0.3222237052
99	0.3220821248
100	0.3220082924
101	0.3218990731
102	0.3218205872
103	0.3217769854
104	0.3217397461
105	0.3216737159
106	0.3216070495
107	0.3215625975
108	0.3215374677
109	0.3214552508
110	0.3214225976
111	0.3214011013
112	0.3213791314
113	0.3213343421
114	0.3212948569
115	0.3211601849
116	0.3211494554
117	0.3211141266
118	0.3209852939
119	0.3208611965
120	0.3208483014
121	0.320839068
122	0.3208274964
123	0.3208118637
124	0.3207175853
125	0.3205598334
126	0.3205521082
127	0.3205001272
128	0.3204337626
129	0.3204253332
130	0.3203121445
131	0.3202684428
132	0.3202588028
133	0.3202026433
134	0.3201774472
135	0.3200746372
136	0.3200642701
137	0.3199731378
138	0.3198187231
139	0.3198108171
140	0.3198015118
141	0.3197502704
142	0.3197108006
143	0.3196759778
144	0.3196536119
145	0.3196480856
146	0.3196130588
147	0.3194387552
148	0.3194290432
149	0.3194038591
150	0.3193707167
151	0.3193431281
152	0.3192142533
153	0.3191687525
154	0.3191619661
155	0.3190904325
156	0.3190461048
157	0.3189612323
158	0.3189554949
159	0.3189493479
160	0.3189186039
161	0.3189118819
162	0.3188769398
163	0.3188470027
164	0.3188206414
165	0.3188144671
166	0.3188099644
167	0.3188045914
168	0.3186921389
169	0.3185232007
170	0.3183792187
171	0.3183127582
172	0.3181611904
173	0.3181315689
174	0.3181265836
175	0.3180787775
176	0.3180584146
177	0.3179255471
178	0.3178441339
179	0.3177388139
180	0.3176483917
181	0.3176428284
182	0.3176344971
183	0.3176286908
184	0.3175266797
185	0.3175225688
186	0.3174654622
187	0.3172873785
188	0.3172020577
189	0.3171968734
190	0.3169918203
191	0.3169860826
192	0.3168878749
193	0.3168160767
194	0.3167195719
195	0.3166649915
196	0.3165997277
197	0.3165692254
198	0.3165310957
199	0.3165083579
