iter	Passed	Remaining
0	1	346
1	3	334
2	5	330
3	6	318
4	7	311
5	9	310
6	11	306
7	12	302
8	14	299
9	15	296
10	17	294
11	18	293
12	20	291
13	21	289
14	23	290
15	25	289
16	26	286
17	28	283
18	29	281
19	30	278
20	32	276
21	33	273
22	35	271
23	36	269
24	38	267
25	39	264
26	40	262
27	42	260
28	43	258
29	45	256
30	46	254
31	48	252
32	49	250
33	50	248
34	52	246
35	53	244
36	55	242
37	56	240
38	57	238
39	59	236
40	60	235
41	62	233
42	63	231
43	64	229
44	66	228
45	67	226
46	69	224
47	70	223
48	71	221
49	73	220
50	74	218
51	76	216
52	77	214
53	78	211
54	79	210
55	81	208
56	82	207
57	83	205
58	85	204
59	86	202
60	88	201
61	89	199
62	91	198
63	92	196
64	94	195
65	95	193
66	96	192
67	98	190
68	99	189
69	101	187
70	102	186
71	103	184
72	105	183
73	106	181
74	108	180
75	109	178
76	110	177
77	112	175
78	113	174
79	115	172
80	116	171
81	117	168
82	118	167
83	120	165
84	121	164
85	122	162
86	124	161
87	125	160
88	127	158
89	128	157
90	129	155
91	131	154
92	132	152
93	134	151
94	135	149
95	136	148
96	138	146
97	139	145
98	141	143
99	142	142
100	143	141
101	145	139
102	146	138
103	148	136
104	149	135
105	150	133
106	152	132
107	153	130
108	155	129
109	156	127
110	157	126
111	159	125
112	160	123
113	161	122
114	163	120
115	164	119
116	166	117
117	167	116
118	168	114
119	170	113
120	171	112
121	172	110
122	174	109
123	175	107
124	177	106
125	178	104
126	179	103
127	181	101
128	182	100
129	183	99
130	185	97
131	186	96
132	187	94
133	189	93
134	190	91
135	192	90
136	193	88
137	194	87
138	196	86
139	197	84
140	198	83
141	200	81
142	201	80
143	203	79
144	204	77
145	206	76
146	207	74
147	208	73
148	210	71
149	211	70
150	213	69
151	214	67
152	215	66
153	217	64
154	218	63
155	219	62
156	221	60
157	222	59
158	223	57
159	225	56
160	226	54
161	228	53
162	229	52
163	230	50
164	232	49
165	233	47
166	234	46
167	236	44
168	237	43
169	239	42
170	240	40
171	241	39
172	243	37
173	244	36
174	246	35
175	247	33
176	249	32
177	250	30
178	252	29
179	253	28
180	255	26
181	256	25
182	257	23
183	259	22
184	260	21
185	262	19
186	263	18
187	265	16
188	266	15
189	267	14
190	269	12
191	270	11
192	272	9
193	273	8
194	275	7
195	276	5
196	278	4
197	279	2
198	280	1
199	282	0
