work_year,job_title,experience_level,employment_type,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,source,employer,requirement,skills
2020,Data Scientist,Mid,Full-time,79833 - 79833 USD,USD,79833,Germany,0,,L,kaggle,,remote_ratio=0,[]
2020,Machine Learning Scientist,Senior,Full-time,260000 - 260000 USD,USD,260000,Japan,0,,S,kaggle,,remote_ratio=0,[]
2020,Big Data Engineer,Senior,Full-time,109024 - 109024 USD,USD,109024,United Kingdom,50,,M,kaggle,,remote_ratio=50,[]
2020,Product Data Analyst,Mid,Full-time,20000 - 20000 USD,USD,20000,Honduras,0,,S,kaggle,,remote_ratio=0,[]
2020,Machine Learning Engineer,Senior,Full-time,150000 - 150000 USD,USD,150000,United States,50,,L,kaggle,,remote_ratio=50,[]
2020,Data Analyst,Junior,Full-time,72000 - 72000 USD,USD,72000,United States,100,,L,kaggle,,remote_ratio=100,[]
2020,Lead Data Scientist,Senior,Full-time,190000 - 190000 USD,USD,190000,United States,100,,S,kaggle,,remote_ratio=100,[]
2020,Data Scientist,Mid,Full-time,35735 - 35735 USD,USD,35735,HU,50,,L,kaggle,,remote_ratio=50,[]
2020,Business Data Analyst,Mid,Full-time,135000 - 135000 USD,USD,135000,United States,100,,L,kaggle,,remote_ratio=100,[]
2020,Lead Data Engineer,Senior,Full-time,125000 - 125000 USD,USD,125000,NZ,50,,S,kaggle,,remote_ratio=50,[]
2020,Data Scientist,Junior,Full-time,51321 - 51321 USD,USD,51321,France,0,,S,kaggle,,remote_ratio=0,[]
2020,Data Scientist,Mid,Full-time,40481 - 40481 USD,USD,40481,India,0,,L,kaggle,,remote_ratio=0,[]
2020,Data Scientist,Junior,Full-time,39916 - 39916 USD,USD,39916,France,0,,M,kaggle,,remote_ratio=0,[]
2020,Lead Data Analyst,Mid,Full-time,87000 - 87000 USD,USD,87000,United States,100,,L,kaggle,,remote_ratio=100,[]
2020,Data Analyst,Mid,Full-time,85000 - 85000 USD,USD,85000,United States,100,,L,kaggle,,remote_ratio=100,[]
2020,Data Analyst,Mid,Full-time,8000 - 8000 USD,USD,8000,PK,50,,L,kaggle,,remote_ratio=50,[]
2020,Data Engineer,Junior,Full-time,41689 - 41689 USD,USD,41689,Japan,100,,S,kaggle,,remote_ratio=100,[]
2020,Big Data Engineer,Senior,Full-time,114047 - 114047 USD,USD,114047,Poland,100,,S,kaggle,,remote_ratio=100,[]
2020,Data Science Consultant,Junior,Full-time,5707 - 5707 USD,USD,5707,India,50,,M,kaggle,,remote_ratio=50,[]
2020,Lead Data Engineer,Mid,Full-time,56000 - 56000 USD,USD,56000,Portugal,100,,M,kaggle,,remote_ratio=100,[]
2020,Machine Learning Engineer,Mid,Full-time,43331 - 43331 USD,USD,43331,China,0,,M,kaggle,,remote_ratio=0,[]
2020,Product Data Analyst,Mid,Full-time,6072 - 6072 USD,USD,6072,India,100,,L,kaggle,,remote_ratio=100,[]
2020,Data Engineer,Senior,Full-time,47899 - 47899 USD,USD,47899,GR,50,,L,kaggle,,remote_ratio=50,[]
2020,BI Data Analyst,Mid,Full-time,98000 - 98000 USD,USD,98000,United States,0,,M,kaggle,,remote_ratio=0,[]
2020,Lead Data Scientist,Mid,Full-time,115000 - 115000 USD,USD,115000,AE,0,,L,kaggle,,remote_ratio=0,[]
2020,Director of Data Science,Executive,Full-time,325000 - 325000 USD,USD,325000,United States,100,,L,kaggle,,remote_ratio=100,[]
2020,Research Scientist,Junior,Full-time,42000 - 42000 USD,USD,42000,Netherlands,50,,L,kaggle,,remote_ratio=50,[]
